RIP,ESOMO,ω,BV(r=3),C-H BDE,ΔGCu-III,Charge,Spin,Red.,Oxi.,VIP,VEA
31.22445393,-108.2,18.6,94.8,67.9,23.7,0.036,0.983,-5.7,-6,155.3,-2.3
34.08715227,-109.4,18.2,96,90,19.8,0.007,1.01,-5.8,-6.3,155,-3.2
39.04886988,-106.8,26.5,79.1,87.3,-1.1,0.081,0.772,-5.9,-5.8,153.5,16.8
39.18127439,-114.3,35.2,84.5,81.1,0.6,-0.034,0.718,-5.7,-4.7,158.9,31
39.95687613,-120.6,41.4,89.9,79.3,0.1,-0.071,0.718,-6.1,-4.4,166.1,39
43.30275679,-102.7,24.8,77.5,83.4,1,0.083,0.747,-5.8,-6,152.3,13.6
43.71440302,-108.1,28.3,77.5,83.1,1.3,0.085,0.74,-5.8,-5.7,153.1,20.3
43.72381566,-107.9,27.3,76.7,82.7,1.4,0.125,0.735,-6,-5.8,157.1,17.5
43.98172206,-106.7,27.4,77.5,83.1,1.4,0.084,0.736,-5.8,-5.8,152.4,18.7
44.21829315,-109,27.7,77.4,83.1,1.9,0.08,0.747,-6,-5.8,158.2,18.1
44.62052674,-115.9,31.7,77.4,83.2,2.2,0.096,0.753,-6.3,-5.6,165.7,24
46.00418518,-109.5,28.6,77.5,83.2,1.3,0.085,0.746,-5.9,-5.7,156.3,20.1
46.35872805,-101.1,29.8,80.9,79.6,4.6,0.003,0.691,-5.5,-5.6,144,24.6
46.5601586,-111,20.5,84.1,87.5,3.5,-0.212,0.993,-5.4,-5.9,157.5,2.2
46.89273864,-111.3,31.1,82.8,83.8,2.3,0.067,0.752,-6.2,-5.6,160.7,23.8
47.02200559,-102.9,24.7,64.2,83.2,-6.5,-0.187,0.762,-5.7,-6,149.6,14.1
47.11362198,-111.8,22.6,61.3,80.7,-1.4,-0.094,0.659,-6.7,-6.4,172.4,2.8
47.28053951,-99,23.1,77.5,83.3,0.6,0.079,0.745,-5.4,-6.1,143.8,12.2
47.29873728,-108.2,31.9,61.8,80.9,-5.1,-0.328,0.662,-5.9,-5.5,154.5,26.3
47.52024813,-101.8,23.5,86.5,89.5,6.6,0.059,0.802,-5.6,-6,147.4,12.1
47.60056935,-97.7,23.1,76.9,78.1,5,0.149,0.605,-5.6,-6.2,147,11.3
48.26070934,-111.8,34.2,66.8,85.8,-10.7,-0.217,0.731,-5.9,-4.2,155.4,29.9
48.55124624,-104.5,29.3,45.8,81.8,-6.7,0.169,0.02,-5.8,-5.7,150.9,22.6
48.57258157,-104.5,33.1,68.7,79.7,-3,-0.296,0.656,-5.7,-5.4,148.6,29.1
48.6232949,-102,24.1,77.5,83.4,2,0.082,0.748,-5.7,-6.1,150.6,12.6
48.92335938,-101.2,20,84.4,86,5.2,0.04,0.894,-5.4,-6.3,146.5,4.3
49.39085395,-101.9,24.4,63.5,80.5,-3.2,-0.14,0.639,-5.9,-6,153.6,12.4
50.14135532,-105.2,23.5,63.4,83.9,-6,-0.174,0.763,-6,-6.3,157.1,9.4
50.21477393,-101.4,27,77.5,82.9,2,0.077,0.718,-5.5,-5.7,144.9,19.7
50.3321182,-99.1,20.6,76.9,82.6,1.2,0.101,0.732,-5.6,-6.4,148.1,5.4
51.39386428,-96.1,26.6,65.3,85.4,-5.6,-0.2,0.701,-5.2,-5.7,138.9,20.2
51.50932603,-104.7,29.5,66.9,82.8,-6.6,-0.185,0.686,-5.7,-5.7,150.7,22.9
52.14060058,-108.1,30.2,69.2,85.3,-11.3,-0.19,0.77,-5.9,-5.6,156.2,23.2
52.68904389,-104.1,15,73.8,93,-4.8,0.143,0.958,-5.9,-7,164.6,-16.9
53.224937,-99.7,26.8,79.3,85.3,-0.2,0.081,0.687,-5.5,-5.8,143.8,19.5
54.46615079,-98.3,23.3,69.5,88,-5.6,-0.212,0.729,-5.5,-6.2,144.3,12.5
55.64649616,-86.8,18.5,64.2,83.3,-6.6,-0.201,0.734,-4.8,-6.2,133,4.8
55.96276095,-97,26.1,70,83.8,-9.2,-0.076,0.65,-5.3,-5.7,145.4,17.9
56.2570629,-84.8,17.5,77.5,82.6,-0.5,0.071,0.723,-4.7,-6.2,128.9,3.6
56.65741396,-90,20.1,49.1,85.2,-9.6,-0.433,0.75,-5.1,-6.1,138.2,7.1
62.60683153,-104.3,22.6,70.9,90.2,-13.3,-0.008,0.839,-5.8,-6,164.2,5.3
63.85055536,-98.5,16.7,79.1,91.1,-8.7,0.234,0.886,-5,-6.6,153.3,-7.1
64.53140317,-91.6,15.6,65.1,90.8,-13.3,-0.001,0.858,-5.2,-6.6,150.7,-9.5
65.80587496,-92.1,13.5,72.7,91.4,-10.4,0.299,0.846,-5.1,-6.9,155.9,-18.6
66.40702907,-97.5,14.4,58.9,92,-16.1,0.079,0.88,-5.6,-7,167.2,-20.3
73.3557947,-75,10.8,77.5,87.3,-2.2,0.234,0.794,-4.1,-7.1,132.9,-18.4
73.54398036,-83.4,13.3,49.3,89.4,-17.7,-0.248,0.84,-4.9,-7.2,151.2,-17.1
76.8621241,-78.3,11.4,64.3,88.3,-16.8,-0.019,0.82,-4.4,-7.2,140.7,-19.7
