ligand,radical,nucleophile
c1ccc(nc1)c1ccccn1,[C]C(OC)=O,[C]#N
c1ccc(nc1)c1ccccn1,[C]N(C)C,[C]#N
c1ccc(nc1)c1ccccn1,[C]C1=CC=CC=C1,[C]#N
c1ccc(nc1)c1ccccn1,C[C]C(OC)=O,[C]#N
c1ccc(nc1)c1ccccn1,C[C]C,[C]#N
c1ccc(nc1)c1ccccn1,C[C]N(C)C,[C]#N
c1ccc(nc1)c1ccccn1,C[C]C1=CC=CC=C1,[C]#N
c1ccc(nc1)c1ccccn1,C[C](C)C(OC)=O,[C]#N
c1ccc(nc1)c1ccccn1,C[C](C)N(C)C(C)=O,[C]#N
c1ccc(nc1)c1ccccn1,C[C](C)C1=CC=CC=C1,[C]#N
CN(CC[N-]S(=O)(=O)c1ccccc1)C,[C]C(OC)=O,[C]#N
CN(CC[N-]S(=O)(=O)c1ccccc1)C,[C]N(C)C,[C]#N
CN(CC[N-]S(=O)(=O)c1ccccc1)C,[C]C1=CC=CC=C1,[C]#N
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C]C(OC)=O,[C]#N
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C]C,[C]#N
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C]N(C)C,[C]#N
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C]C1=CC=CC=C1,[C]#N
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C](C)C(OC)=O,[C]#N
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C](C)N(C)C(C)=O,[C]#N
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C](C)C1=CC=CC=C1,[C]#N
CN(CC[N-]C(=O)c1ccccn1)C,[C]C(OC)=O,[C]#N
CN(CC[N-]C(=O)c1ccccn1)C,[C]N(C)C,[C]#N
CN(CC[N-]C(=O)c1ccccn1)C,[C]C1=CC=CC=C1,[C]#N
CN(CC[N-]C(=O)c1ccccn1)C,C[C]C(OC)=O,[C]#N
CN(CC[N-]C(=O)c1ccccn1)C,C[C]C,[C]#N
CN(CC[N-]C(=O)c1ccccn1)C,C[C]N(C)C,[C]#N
CN(CC[N-]C(=O)c1ccccn1)C,C[C]C1=CC=CC=C1,[C]#N
CN(CC[N-]C(=O)c1ccccn1)C,C[C](C)C(OC)=O,[C]#N
CN(CC[N-]C(=O)c1ccccn1)C,C[C](C)N(C)C(C)=O,[C]#N
CN(CC[N-]C(=O)c1ccccn1)C,C[C](C)C1=CC=CC=C1,[C]#N
C1CN=C(O1)c1cccc(n1)C1=NCCO1,[C]C(OC)=O,[C]#N
C1CN=C(O1)c1cccc(n1)C1=NCCO1,[C]N(C)C,[C]#N
C1CN=C(O1)c1cccc(n1)C1=NCCO1,[C]C1=CC=CC=C1,[C]#N
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C]C(OC)=O,[C]#N
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C]C,[C]#N
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C]N(C)C,[C]#N
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C]C1=CC=CC=C1,[C]#N
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C](C)C(OC)=O,[C]#N
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C](C)N(C)C(C)=O,[C]#N
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C](C)C1=CC=CC=C1,[C]#N
CC(C1=NCCO1)(C1=NCCO1)C,[C]C(OC)=O,[C]#N
CC(C1=NCCO1)(C1=NCCO1)C,[C]N(C)C,[C]#N
CC(C1=NCCO1)(C1=NCCO1)C,[C]C1=CC=CC=C1,[C]#N
CC(C1=NCCO1)(C1=NCCO1)C,C[C]C(OC)=O,[C]#N
CC(C1=NCCO1)(C1=NCCO1)C,C[C]C,[C]#N
CC(C1=NCCO1)(C1=NCCO1)C,C[C]N(C)C,[C]#N
CC(C1=NCCO1)(C1=NCCO1)C,C[C]C1=CC=CC=C1,[C]#N
CC(C1=NCCO1)(C1=NCCO1)C,C[C](C)C(OC)=O,[C]#N
CC(C1=NCCO1)(C1=NCCO1)C,C[C](C)N(C)C(C)=O,[C]#N
CC(C1=NCCO1)(C1=NCCO1)C,C[C](C)C1=CC=CC=C1,[C]#N
c1ccc(nc1)c1ccccn1,[C]C(OC)=O,[CH3-]
c1ccc(nc1)c1ccccn1,[C]N(C)C,[CH3-]
c1ccc(nc1)c1ccccn1,[C]C1=CC=CC=C1,[CH3-]
c1ccc(nc1)c1ccccn1,C[C]C(OC)=O,[CH3-]
c1ccc(nc1)c1ccccn1,C[C]C,[CH3-]
c1ccc(nc1)c1ccccn1,C[C]N(C)C,[CH3-]
c1ccc(nc1)c1ccccn1,C[C]C1=CC=CC=C1,[CH3-]
c1ccc(nc1)c1ccccn1,C[C](C)C(OC)=O,[CH3-]
c1ccc(nc1)c1ccccn1,C[C](C)N(C)C(C)=O,[CH3-]
c1ccc(nc1)c1ccccn1,C[C](C)C1=CC=CC=C1,[CH3-]
CN(CC[N-]S(=O)(=O)c1ccccc1)C,[C]C(OC)=O,[CH3-]
CN(CC[N-]S(=O)(=O)c1ccccc1)C,[C]N(C)C,[CH3-]
CN(CC[N-]S(=O)(=O)c1ccccc1)C,[C]C1=CC=CC=C1,[CH3-]
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C]C(OC)=O,[CH3-]
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C]C,[CH3-]
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C]N(C)C,[CH3-]
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C]C1=CC=CC=C1,[CH3-]
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C](C)C(OC)=O,[CH3-]
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C](C)N(C)C(C)=O,[CH3-]
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C](C)C1=CC=CC=C1,[CH3-]
CN(CC[N-]C(=O)c1ccccn1)C,[C]C(OC)=O,[CH3-]
CN(CC[N-]C(=O)c1ccccn1)C,[C]N(C)C,[CH3-]
CN(CC[N-]C(=O)c1ccccn1)C,[C]C1=CC=CC=C1,[CH3-]
CN(CC[N-]C(=O)c1ccccn1)C,C[C]C(OC)=O,[CH3-]
CN(CC[N-]C(=O)c1ccccn1)C,C[C]C,[CH3-]
CN(CC[N-]C(=O)c1ccccn1)C,C[C]N(C)C,[CH3-]
CN(CC[N-]C(=O)c1ccccn1)C,C[C]C1=CC=CC=C1,[CH3-]
CN(CC[N-]C(=O)c1ccccn1)C,C[C](C)C(OC)=O,[CH3-]
CN(CC[N-]C(=O)c1ccccn1)C,C[C](C)N(C)C(C)=O,[CH3-]
CN(CC[N-]C(=O)c1ccccn1)C,C[C](C)C1=CC=CC=C1,[CH3-]
C1CN=C(O1)c1cccc(n1)C1=NCCO1,[C]C(OC)=O,[CH3-]
C1CN=C(O1)c1cccc(n1)C1=NCCO1,[C]N(C)C,[CH3-]
C1CN=C(O1)c1cccc(n1)C1=NCCO1,[C]C1=CC=CC=C1,[CH3-]
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C]C(OC)=O,[CH3-]
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C]C,[CH3-]
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C]N(C)C,[CH3-]
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C]C1=CC=CC=C1,[CH3-]
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C](C)C(OC)=O,[CH3-]
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C](C)N(C)C(C)=O,[CH3-]
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C](C)C1=CC=CC=C1,[CH3-]
CC(C1=NCCO1)(C1=NCCO1)C,[C]C(OC)=O,[CH3-]
CC(C1=NCCO1)(C1=NCCO1)C,[C]N(C)C,[CH3-]
CC(C1=NCCO1)(C1=NCCO1)C,[C]C1=CC=CC=C1,[CH3-]
CC(C1=NCCO1)(C1=NCCO1)C,C[C]C(OC)=O,[CH3-]
CC(C1=NCCO1)(C1=NCCO1)C,C[C]C,[CH3-]
CC(C1=NCCO1)(C1=NCCO1)C,C[C]N(C)C,[CH3-]
CC(C1=NCCO1)(C1=NCCO1)C,C[C]C1=CC=CC=C1,[CH3-]
CC(C1=NCCO1)(C1=NCCO1)C,C[C](C)C(OC)=O,[CH3-]
CC(C1=NCCO1)(C1=NCCO1)C,C[C](C)N(C)C(C)=O,[CH3-]
CC(C1=NCCO1)(C1=NCCO1)C,C[C](C)C1=CC=CC=C1,[CH3-]
c1ccc(nc1)c1ccccn1,[C]C(OC)=O,C1=[C-]C=CC=C1
c1ccc(nc1)c1ccccn1,[C]N(C)C,C1=[C-]C=CC=C1
c1ccc(nc1)c1ccccn1,[C]C1=CC=CC=C1,C1=[C-]C=CC=C1
c1ccc(nc1)c1ccccn1,C[C]C(OC)=O,C1=[C-]C=CC=C1
c1ccc(nc1)c1ccccn1,C[C]C,C1=[C-]C=CC=C1
c1ccc(nc1)c1ccccn1,C[C]N(C)C,C1=[C-]C=CC=C1
c1ccc(nc1)c1ccccn1,C[C]C1=CC=CC=C1,C1=[C-]C=CC=C1
c1ccc(nc1)c1ccccn1,C[C](C)C(OC)=O,C1=[C-]C=CC=C1
c1ccc(nc1)c1ccccn1,C[C](C)N(C)C(C)=O,C1=[C-]C=CC=C1
c1ccc(nc1)c1ccccn1,C[C](C)C1=CC=CC=C1,C1=[C-]C=CC=C1
CN(CC[N-]S(=O)(=O)c1ccccc1)C,[C]C(OC)=O,C1=[C-]C=CC=C1
CN(CC[N-]S(=O)(=O)c1ccccc1)C,[C]N(C)C,C1=[C-]C=CC=C1
CN(CC[N-]S(=O)(=O)c1ccccc1)C,[C]C1=CC=CC=C1,C1=[C-]C=CC=C1
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C]C(OC)=O,C1=[C-]C=CC=C1
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C]C,C1=[C-]C=CC=C1
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C]N(C)C,C1=[C-]C=CC=C1
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C]C1=CC=CC=C1,C1=[C-]C=CC=C1
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C](C)C(OC)=O,C1=[C-]C=CC=C1
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C](C)N(C)C(C)=O,C1=[C-]C=CC=C1
CN(CC[N-]S(=O)(=O)c1ccccc1)C,C[C](C)C1=CC=CC=C1,C1=[C-]C=CC=C1
CN(CC[N-]C(=O)c1ccccn1)C,[C]C(OC)=O,C1=[C-]C=CC=C1
CN(CC[N-]C(=O)c1ccccn1)C,[C]N(C)C,C1=[C-]C=CC=C1
CN(CC[N-]C(=O)c1ccccn1)C,[C]C1=CC=CC=C1,C1=[C-]C=CC=C1
CN(CC[N-]C(=O)c1ccccn1)C,C[C]C(OC)=O,C1=[C-]C=CC=C1
CN(CC[N-]C(=O)c1ccccn1)C,C[C]C,C1=[C-]C=CC=C1
CN(CC[N-]C(=O)c1ccccn1)C,C[C]N(C)C,C1=[C-]C=CC=C1
CN(CC[N-]C(=O)c1ccccn1)C,C[C]C1=CC=CC=C1,C1=[C-]C=CC=C1
CN(CC[N-]C(=O)c1ccccn1)C,C[C](C)C(OC)=O,C1=[C-]C=CC=C1
CN(CC[N-]C(=O)c1ccccn1)C,C[C](C)N(C)C(C)=O,C1=[C-]C=CC=C1
CN(CC[N-]C(=O)c1ccccn1)C,C[C](C)C1=CC=CC=C1,C1=[C-]C=CC=C1
C1CN=C(O1)c1cccc(n1)C1=NCCO1,[C]C(OC)=O,C1=[C-]C=CC=C1
C1CN=C(O1)c1cccc(n1)C1=NCCO1,[C]N(C)C,C1=[C-]C=CC=C1
C1CN=C(O1)c1cccc(n1)C1=NCCO1,[C]C1=CC=CC=C1,C1=[C-]C=CC=C1
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C]C(OC)=O,C1=[C-]C=CC=C1
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C]C,C1=[C-]C=CC=C1
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C]N(C)C,C1=[C-]C=CC=C1
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C]C1=CC=CC=C1,C1=[C-]C=CC=C1
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C](C)C(OC)=O,C1=[C-]C=CC=C1
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C](C)N(C)C(C)=O,C1=[C-]C=CC=C1
C1CN=C(O1)c1cccc(n1)C1=NCCO1,C[C](C)C1=CC=CC=C1,C1=[C-]C=CC=C1
CC(C1=NCCO1)(C1=NCCO1)C,[C]C(OC)=O,C1=[C-]C=CC=C1
CC(C1=NCCO1)(C1=NCCO1)C,[C]N(C)C,C1=[C-]C=CC=C1
CC(C1=NCCO1)(C1=NCCO1)C,[C]C1=CC=CC=C1,C1=[C-]C=CC=C1
CC(C1=NCCO1)(C1=NCCO1)C,C[C]C(OC)=O,C1=[C-]C=CC=C1
CC(C1=NCCO1)(C1=NCCO1)C,C[C]C,C1=[C-]C=CC=C1
CC(C1=NCCO1)(C1=NCCO1)C,C[C]N(C)C,C1=[C-]C=CC=C1
